Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Địa chỉ chi tiết
"Biệt thự, liền kề Vinhomes Đan Phượng trực tiếp CDT chỉ 156tr/m2 đất, HT vay 70% miễn gốc lãi 24T",Giá thỏa thuận,99 m²,Không có thông tin,Không có thông tin,"Đan Phượng, Hà Nội","Dự án Vinhomes Wonder Park, Xã Tân Hội, Đan Phượng, Hà Nội"
Bán đất mặt tiền diện tích 1040m2 Quốc Lộ N2 thuận tiện kinh doanh gần KCN Việt Phát Hoàn Cầu,Giá thỏa thuận,1.040 m²,Không có thông tin,Không có thông tin,"Bến Lức, Long An","Xã Thạnh Lợi, Bến Lức, Long An"
"Bán đất mặt tiền 52m Quốc lộ N2 Tân Thạnh Long An, DT 11.812m2",Giá thỏa thuận,11.812 m²,Không có thông tin,Không có thông tin,"Tân Thạnh, Long An","Xã Nhơn Ninh, Tân Thạnh, Long An"
"Quỹ căn Vinhomes Skylake Phạm Hùng, Mỹ Đình, Nam Từ Liêm 3PN giá tốt nhất T3/2025",8 tỷ,90 m²,3,2,"Nam Từ Liêm, Hà Nội","Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội."
Giá đợt 1 Vinhomes Đan Phượng chỉ 156tr/m2 = 14 tỷ/căn LK mặt tiền 8m giá dành cho 400KH đầu tiên,Giá thỏa thuận,88 m²,Không có thông tin,Không có thông tin,"Đan Phượng, Hà Nội","Vinhomes Wonder Park, Tân Hội, Đan Phượng, Hà Nội"
Bán căn hộ chung cư 130m2 vew hồ điều hoà,7 tỷ,130 m²,3,2,"Nam Từ Liêm, Hà Nội","Dự án Tây Hà Tower, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội"
"Cần bán liền kề Thanh Hà DT 100m2, giá chỉ 9,5 tỷ đồng","9,5 tỷ",100 m²,Không có thông tin,Không có thông tin,"Hà Đông, Hà Nội","Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội"
"Chính chủ cần bán nhà đường XVNT, P.26, Q.Bình Thạnh, đường ôtô né nhau, xe tải quay đầu thoải mái","10,9 tỷ",65 m²,3,3,"Bình Thạnh, Hồ Chí Minh","Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh"
"Chính chủ bán đất có vị trí đắc địa tại xã Thạnh Lợi, Bến Lức, tỉnh Long An",Giá thỏa thuận,"9.346,6 m²",Không có thông tin,Không có thông tin,"Bến Lức, Long An","Xã Thạnh Lợi, Bến Lức, Long An"
"Chính chủ bán căn hộ 90m², phòng 14.6 tòa nhà Vimeco 1, Trung Hòa, Cầu Giấy","6,85 tỷ",90 m²,3,2,"Cầu Giấy, Hà Nội","Dự án Vimeco Phạm Hùng, Đường Phạm Hùng, Phường Trung Hòa, Cầu Giấy, Hà Nội"
Quỹ căn cần bán gấp 03/2025 tại Royal City. Cam kết có slot oto. Full tiện ích 5sao. LH 0375 122 ***,"10,2 tỷ",130 m²,3,2,"Thanh Xuân, Hà Nội","Royal City, Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội"
"Cần bán đất mặt tiền Quốc Lộ N2 - Tân Thạnh, Long An. Diện tích: 17.970m2",Giá thỏa thuận,17.970 m²,Không có thông tin,Không có thông tin,"Tân Thạnh, Long An","Xã Nhơn Ninh, Tân Thạnh, Long An"
"Cần bán căn hộ 2PN2WC Ruby Vinhomes Ocean Park Gia Lâm diện tích 68m giá bán 4,350tỷ LH 0923 468 ***","4,35 tỷ",68 m²,2,2,"Gia Lâm, Hà Nội","Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội"
