Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Địa chỉ chi tiết
Chính chủ bán căn hộ có HĐMB 75m2 2PN CC Cao cấp Garden Gate Phú Nhuận,"5,4 tỷ",75 m²,2,2,"Phú Nhuận, Hồ Chí Minh","Garden Gate, 8 Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
"Lô đất Siêu đẹp, Siêu hot tọa lại ngay tại khu phố Giải trí của Đà Nẵng",10 tỷ,99 m²,Không có thông tin,Không có thông tin,"Hải Châu, Đà Nẵng","Đường Bình Minh 3, Phường Bình Thuận, Hải Châu, Đà Nẵng"
Mở Booking Villa 3 Mặt sông siêu hiếm đẳng cấp nhất khu đô thị quốc tế The Global City - Đã có Sổ,60 tỷ,338 m²,Không có thông tin,Không có thông tin,"Quận 2, Hồ Chí Minh","Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh"
Chuyển nhượng căn 2PN tầng 18 view trực diện biển Mỹ Khê Đà Nẵng,"4,9 tỷ","82,5 m²",2,2,"Ngũ Hành Sơn, Đà Nẵng","Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng."
"Đẳng cấp biệt thự view sông Đồng Nai, vị trí đắc địa, toạ lạc ngay trung tâm thành phố Biên Hoà!",48 tỷ,660 m²,Không có thông tin,Không có thông tin,"Biên Hòa, Đồng Nai","Phường Thống Nhất, Biên Hòa, Đồng Nai"
"Bán đất tặng nhà C4, ngõ oto vào, cách 80m ra đường 1A, và 80m ra đường Vũ Lăng nối dài, xây VP","6,6 tỷ","69,9 m²",Không có thông tin,Không có thông tin,"Thanh Trì, Hà Nội","Đường 1A, Xã Liên Ninh, Thanh Trì, Hà Nội"
"Bán gấp căn 2N 69,9m2 toà Thăng Long Capital, full nội thất nhập cạnh Vinsmart, có slot ô tô hầm",3 tỷ,"69,9 m²",2,2,"Hoài Đức, Hà Nội","Dự án Thăng Long Capital, Xã An Khánh, Hoài Đức, Hà Nội"
"Bán giá tốt! Feliz En Vista - 3PN, 133m2, giá 14 tỷ 504 all in - có sổ","14,5 tỷ",133 m²,3,Không có thông tin,"Quận 2, Hồ Chí Minh","Feliz En Vista, Phan Văn Đáng, Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
Long Hoàng Investment cập nhật giỏ hàng đất vườn ven biển Bắc Bình - Bình Thuận T03 dưới 500 triệu,60 triệu,1.000 m²,Không có thông tin,Không có thông tin,"Bắc Bình, Bình Thuận","Đường Hòa Thắng - Hòa Phú, Xã Phan Rí Thành, Bắc Bình, Bình Thuận"
"Trực tiếp CĐT Khải Hoàn Prime - Nhận đăng ký giữ chỗ tháp Vinci, Mika, rổ hàng giá rẻ, đẹp nhất","2,56 tỷ","45,8 m²",1,1,"Nhà Bè, Hồ Chí Minh","Dự án Khải Hoàn Prime, Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh"
"Mặt tiền Lô góc - Cực hiếm - Lạc Long Quân Q11 - 4,1x12 - Giá còn 13.x còn TL","13,5 tỷ",49 m²,2,2,"Quận 11, Hồ Chí Minh","Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh"
