Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude
Sở hữu căn hộ Sài Gòn Intela chỉ với 600tr,"1,53 tỷ",55 m²,2,2,"Bình Chánh, Hồ Chí Minh"," Đường Nguyễn Văn Linh,  Xã Phong Phú,  Bình Chánh,  Hồ Chí Minh",10.6968222,106.6546923
"Bán MT Tô Ngọc Vân, Linh Đông. Ngang 20m*20m=370m2. Hđ thuê 160tr/tháng thu nét. Giá bán 60 tỷ TL",60 tỷ,370 m²,1,1,"Thủ Đức, Hồ Chí Minh","Đường Tô Ngọc Vân, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",10.85812542,106.7490253
"CC cần bán gấp căn 1N + 43m2 full đồ, thiết kế 2N giá 2.98 tỷ","2,98 tỷ",43 m²,2,1,"Nam Từ Liêm, Hà Nội"," Phường Tây Mỗ,  Nam Từ Liêm,  Hà Nội",21.0096762,105.7445572
"Chính chủ bán nhà riêng gần trường tiểu học/trung học cơ sở Kim Giang, Phố Hoàng Đạo Thành","13,5 tỷ","42,7 m²",2,2,"Thanh Xuân, Hà Nội","Số 14 ngách 55, ngõ 64, Đường Kim Giang, Phường Hạ Đình, Thanh Xuân, Hà Nội",20.98266639,105.8156994
Phố Nguyễn Văn lộc siêu kinh doanh - nở hậu - trung tâm quận - đối diện học viện an ninh,33 tỷ,105 m²,6,6,"Hà Đông, Hà Nội","Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",20.9821715,105.7842539
"Phải thật nhanh nhà dân xây Vĩnh Phúc, Hoàng Hoa Thám, Ba Đình 50m2x3T 4 ngủ giá siêu rẻ 6,8 tỷ","6,8 tỷ",50 m²,4,3,"Ba Đình, Hà Nội","Ngõ 75, Đường Vĩnh Phúc, Phường Vĩnh Phúc, Ba Đình, Hà Nội",21.04287922,105.8083381
"The Filmore giỏ hàng 23 căn từ CDT, chiết khấu 16% tháng 3 tặng tivi 75in hoặc trừ vào giá bán 40tr","4,7 tỷ",51 m²,1,1,"Hải Châu, Đà Nẵng"," Đường Bạch Đằng,  Phường Bình Thuận,  Hải Châu,  Đà Nẵng",16.05489458,108.2236461
"TỔNG HỢP, Quỹ căn hộ BRG Diamond Park Plaza, 1PN-2PN-3PN, 16 Láng Hạ mới nhất VIEW Hồ.","18,75 tỷ",125 m²,3,2,"Ba Đình, Hà Nội","Diamond Park Plaza , Láng Hạ, Thành Công, Ba Đình, Hà Nội",21.01664035,105.8138106
Đón sóng Từ Sơn về Hà Nội CĐT mở bán quỹ căn siêu vip giá F0 tại Bắc Ninh. Sổ hồng sở hữu nâu dài,11 tỷ,180 m²,3,4,"Từ Sơn, Bắc Ninh"," Đường Hữu Nghị,  Phường Phù Chẩn,  Từ Sơn,  Bắc Ninh",21.08308623,105.9652381
"5 căn ưu đãi. Nhỉnh 1 tỷ mua căn 2PN, 3PN. Chỉ từ 60tr/m2. Vay 0%/24T, CK 10%, quà tặng 1 cây vàng",5 tỷ,90 m²,2,2,"Hoàng Mai, Hà Nội"," Đường Bằng Liệt,  Phường Hoàng Liệt,  Hoàng Mai,  Hà Nội",20.966795,105.824457
"Quỹ căn Vinhomes Skylake Phạm Hùng, Mỹ Đình, Nam Từ Liêm 3PN giá tốt nhất T3/2025",8 tỷ,90 m²,3,2,"Nam Từ Liêm, Hà Nội"," Đường Phạm Hùng,  Phường Mỹ Đình 1,  Nam Từ Liêm,  Hà Nội.",21.02017478,105.7799731
Bán căn hộ chung cư 130m2 vew hồ điều hoà,7 tỷ,130 m²,3,2,"Nam Từ Liêm, Hà Nội"," Đường Tố Hữu,  Phường Trung Văn,  Nam Từ Liêm,  Hà Nội",20.9921504,105.7838655
"Chính chủ cần bán nhà đường XVNT, P.26, Q.Bình Thạnh, đường ôtô né nhau, xe tải quay đầu thoải mái","10,9 tỷ",65 m²,3,3,"Bình Thạnh, Hồ Chí Minh","Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh",10.80633469,106.7115558
"Chính chủ bán căn hộ 90m², phòng 14.6 tòa nhà Vimeco 1, Trung Hòa, Cầu Giấy","6,85 tỷ",90 m²,3,2,"Cầu Giấy, Hà Nội"," Đường Phạm Hùng,  Phường Trung Hòa,  Cầu Giấy,  Hà Nội",21.0084017,105.7899445
Quỹ căn cần bán gấp 03/2025 tại Royal City. Cam kết có slot oto. Full tiện ích 5sao. LH 0375 122 ***,"10,2 tỷ",130 m²,3,2,"Thanh Xuân, Hà Nội","Royal City, Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội",21.0043562,105.8159117
"Cần bán căn hộ 2PN2WC Ruby Vinhomes Ocean Park Gia Lâm diện tích 68m giá bán 4,350tỷ LH 0923 468 ***","4,35 tỷ",68 m²,2,2,"Gia Lâm, Hà Nội"," Đường Đông Dư,  Thị trấn Trâu Quỳ,  Gia Lâm,  Hà Nội",21.00686405,105.9511242
"Chính chủ cắt lỗ bán nhanh căn hộ 2PN Sunshine Sky City Tòa S3 DT 77,5m2, tầng cao view đẹp có TL","5,5 tỷ","77,5 m²",2,2,"Quận 7, Hồ Chí Minh"," Đường Phú Thuận,  Phường Tân Phú,  Quận 7,  Hồ Chí Minh",10.73028113,106.7307725
"Chính chủ bán nhà riêng 6 tầng x 51m2, thang máy, lô góc, full nội thất, Nguyễn Văn Cừ, ngõ 3m","9,55 tỷ",51 m²,3,5,"Long Biên, Hà Nội","Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",21.04870323,105.8819132
"HimLam ra hàng mới nhất, quỹ các căn shophouse đường Lý Tử Tấn. Đường 33m + vỉa hè 5m. Giá từ 17 tỷ","18,5 tỷ","88,3 m²",6,7,"Thường Tín, Hà Nội","Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",20.7831795,105.9130643
