Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
"ĐỘC QUYỀN! QUỸ NGOẠI GIAO CĐT MELODY LINH ĐÀM CHỈ 54TR/M2,CHIẾT KHẤU 8%,TẶNG 1 CÂY VÀNG,VIEW HỒ ĐẸP","3,6 tỷ",68 m²,2,2,"Hoàng Mai, Hà Nội"," Đường Bằng Liệt,  Phường Hoàng Liệt,  Hoàng Mai,  Hà Nội",20.966795,105.824457,14,1.2980818601739774,2.0103746751709455,1.7967077696649225,0.9973266987338943,0.0,0.0
"TIN GIÁ THẬT. EM HIỆP CHUYÊN BÁN CĂN HỘ LUMIERE RIVERSIDE, QUẬN 2. ĐÃ CÓ SỔ HỒNG","8,9 tỷ","74,2 m²",2,2,"Quận 2, Hồ Chí Minh"," Đường Võ Nguyên Giáp,  Phường An Phú,  Quận 2,  Hồ Chí Minh",10.7365876,106.7120245,109,1.2267768135034145,1.6867338601728834,1.5161008760853787,1.1590947137101744,1.2486633864966536,0.0
"NHẬN NHÀ Ở HOẶC CHO THUÊ NGAY, CHIẾT KHẤU LÊN ĐẾN 12% GTCH. GIÁ TRỰC TIẾP TỪ CHỦ ĐẦU TƯ PHÚ ĐÔNG","2,72 tỷ","68,2 m²",2,2,"Dĩ An, Bình Dương"," Đường An Bình,  Phường An Bình,  Dĩ An,  Bình Dương",10.87141891,106.7551239,14,1.602902974113977,1.443485626354822,1.4633334758699759,1.7150230413651606,0.0,0.0
"ĐỘC QUYỀN 10 CĂN TẦNG TRUNG VIEW HỒ, STUDIO - 1PN - 2PN-3PN, CHIẾT KHẤU NGAY 18,5% KÝ TRỰC TIẾP CĐT",Giá thỏa thuận,60 m²,2,2,"Đông Anh, Hà Nội"," Xã Đông Hội,  Đông Anh,  Hà Nội",21.13968625,105.8518553,0,0.0,0.0,0.0,0.0,0.0,0.0
"1PN-2PN-3PN VINHOMES Q9 CẮT LỖ 500-1.2 TỶ, CAM KẾT GIÁ RẺ HƠN 100 - 200TR LH 0931 896 *** XEM NHÀ","2,65 tỷ",60 m²,2,2,"Quận 9, Hồ Chí Minh"," Phường Long Thạnh Mỹ,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,414,1.6733296695092115,1.1638557778393117,1.5122363127537346,1.7018920440815228,1.9558045877698915,0.0
"(TIN THẬT) CỰC HIẾM, BÁN NHÀ QUẬN TÂN BÌNH, MT 6M, PHÂN LÔ VỈA HÈ, Ô TÔ TRÁNH, KHÔNG LỖI, XÂY CCMN","12,5 tỷ",121 m²,3,3,"Tân Bình, Hồ Chí Minh","Đường Phạm Văn Bạch, Phường 14, Tân Bình, Hồ Chí Minh",10.7937663,106.6419696,81,1.7525734422138068,1.2533904495426806,1.8595640641446511,1.7367870212500558,1.3862091272542418,0.0
"BÁN CĂN 2N2VS 65M2, FULL ĐỒ, HƯỚNG ĐÔNG BẮC MÁT MẺ, GIÁ CHỈ 3.06 TỶ","3,06 tỷ",65 m²,2,2,"Gia Lâm, Hà Nội"," Xã Dương Xá,  Gia Lâm,  Hà Nội",21.0046345,105.970087,3,1.518894384018541,0.0,2.0276790297871825,0.0,0.5013250924812572,0.0
"HOT! TỔNG HỢP RỔ HÀNG CHUYỂN NHƯỢNG SWANBAY MỚI NHẤT T3/2025, NHIỀU CĂN GIÁ TỐT NHẤT, VỊ TRÍ ĐẸP",18 tỷ,320 m²,3,3,"Nhơn Trạch, Đồng Nai"," Xã Đại Phước,  Nhơn Trạch,  Đồng Nai",10.7355009,106.8171232,1,1.883209152020908,0.0,1.883209152020908,0.0,0.0,0.0
"BÁN CĂN HỘ CHUNG CƯ TẠI VINHOMES OCEAN PARK GIA LÂM, 2,48 TỶ, 48M2, HÀNG HIẾM GIÁ SIÊU HỜI","2,48 tỷ",48 m²,1,1,"Gia Lâm, Hà Nội"," Xã Dương Xá,  Gia Lâm,  Hà Nội",21.0046345,105.970087,3,1.518894384018541,0.0,2.0276790297871825,0.0,0.5013250924812572,0.0
"MỞ BÁN PHÂN KHU DIAMOND, TT20% CÒN LẠI GÓP 3 NĂM 0% LS, LH EM ĐỂ CÓ ƯU ĐÃI TỐT NHẤT - 0935 686 ***","4,4 tỷ",85 m²,2,2,"Tân Phú, Hồ Chí Minh"," Đường N1,  Phường Sơn Kỳ,  Tân Phú,  Hồ Chí Minh",10.80369491,106.6148742,26,1.5578229444242742,2.341698012371944,1.5708045028047548,1.4855418853078568,0.0,0.0
"Bán nhanh căn hộ 2 ngủ 71m2 tại chung cư A5 hoac Viện Quân Y, sổ đỏ nhà mới bàn giao giá 4. X tỷ lh","4,1 tỷ",71 m²,2,2,"Hà Đông, Hà Nội"," Phố Phùng Hưng,  Phường Phúc La,  Hà Đông,  Hà Nội",20.9728547,105.7833134,31,1.2259201682711756,1.4787287808788778,1.5710581076534342,0.9832949687378227,1.7421116144053204,0.0
ĐƯỜNG LẠC LONG QUÂN F9 TÂN BÌNH 60M 4TẦNG 9TY2 4PN 3WC,"9,2 tỷ",60 m²,4,4,"Tân Bình, Hồ Chí Minh","Đường Lạc Long Quân, Phường 9, Tân Bình, Hồ Chí Minh",10.77491314,106.6481678,170,1.882347723785949,1.5389126688817476,1.3733582840659078,2.0281500989336054,2.116409564408833,0.0
"Cần bán nhanh nên giảm 111 triệu căn 3PN Tứ Hiệp Plaza, đầy đủ nội thất tâm huyết, sổ đỏ chính chủ",Giá thỏa thuận,84 m²,3,2,"Thanh Trì, Hà Nội","Tứ Hiệp Plaza, Xã Tứ Hiệp, Thanh Trì, Hà Nội",20.95253485,105.8519668,5,1.979322581066294,1.4195764527893793,2.058594519952312,2.3012528926851537,0.0,0.0
